Z,HQ,HK,N_CTX_Q,N_CTX_K,D_HEAD,causal,dropout_p,layout,use_exp2,scale_per_head,mismatched_elems,total_elems,mismatched_percentage,greatest_abs_diff,greatest_rel_diff
4,6,1,512,256,64,False,0.0,bhsd,False,False,8,786432,0.0,0.01348876953125,2.689453125
1,1,1,2,4,16,True,0.0,bshd,False,False,5,32,15.6,0.025390625,0.202392578125
1,2,2,2,4,16,True,0.0,bshd,False,False,7,64,10.9,0.02685546875,0.27099609375
1,4,1,2,4,16,True,0.0,bshd,False,False,13,128,10.2,0.029052734375,0.275146484375
1,4,2,2,4,16,True,0.0,bshd,False,False,9,128,7.0,0.0263671875,0.919921875
1,1,1,4,2,16,True,0.0,bshd,False,False,4,64,6.2,0.025390625,3.955078125
1,1,1,4,4,16,True,0.0,bshd,False,False,1,64,1.6,0.013641357421875,0.275146484375
1,2,2,4,4,16,True,0.0,bshd,False,False,6,128,4.7,0.0218505859375,0.1617431640625
2,1,1,4,4,16,True,0.0,bshd,False,False,3,128,2.3,0.013427734375,2.0859375
2,2,2,4,4,16,True,0.0,bshd,False,False,9,256,3.5,0.021240234375,0.1856689453125
1,1,1,128,64,16,True,0.0,bshd,False,False,55,2048,2.7,0.0297698974609375,29.375
3,3,3,128,128,64,True,0.0,bshd,False,False,1391,73728,1.9,0.052734375,397.0
2,4,4,1024,1024,64,True,0.0,bshd,False,False,1357,524288,0.3,0.0458984375,52.75
4,6,6,108,256,224,True,0.0,bshd,False,False,72,580608,0.0,0.014892578125,7.63671875
4,8,8,2048,2048,128,True,0.0,bshd,False,False,10964,8388608,0.1,0.0537109375,1381.0
4,16,16,4096,4096,64,True,0.0,bshd,False,False,10245,16777216,0.1,0.0517578125,822.0
2,4,4,8192,8192,32,True,0.0,bshd,False,False,739,2097152,0.0,0.047607421875,177.625
4,6,1,113,203,256,True,0.0,bshd,False,False,481,694272,0.1,0.020751953125,116.5625
4,6,1,128,217,256,True,0.0,bshd,False,False,504,786432,0.1,0.02490234375,442.5
4,6,2,113,211,128,True,0.0,bshd,False,False,198,347136,0.1,0.0196533203125,25.734375
4,6,2,108,256,128,True,0.0,bshd,False,False,47,331776,0.0,0.0140838623046875,4.5234375
4,6,1,512,256,64,True,0.0,bshd,False,False,3961,786432,0.5,0.0450439453125,817.5
4,6,2,1024,1024,32,True,0.0,bshd,False,False,2025,786432,0.3,0.05078125,156.875
4,6,2,1023,1024,32,True,0.0,bshd,False,False,2063,785664,0.3,0.046875,147.5
4,6,6,1024,1023,32,True,0.0,bshd,False,False,2017,786432,0.3,0.0498046875,147.25
4,6,6,2048,2048,32,True,0.0,bshd,False,False,1969,1572864,0.1,0.05224609375,228.375
1,1,1,2,4,16,False,0.0,bshd,False,False,4,32,12.5,0.01953125,0.154296875
1,2,2,2,4,16,False,0.0,bshd,False,False,6,64,9.4,0.02685546875,0.092529296875
1,4,1,2,4,16,False,0.0,bshd,False,False,16,128,12.5,0.029052734375,1.470703125
1,4,2,2,4,16,False,0.0,bshd,False,False,8,128,6.2,0.0263671875,0.71826171875
1,1,1,4,2,16,False,0.0,bshd,False,False,8,64,12.5,0.025390625,3.955078125
1,1,1,4,4,16,False,0.0,bshd,False,False,6,64,9.4,0.0229949951171875,1.470703125
1,2,2,4,4,16,False,0.0,bshd,False,False,7,128,5.5,0.02685546875,0.1356201171875
2,1,1,4,4,16,False,0.0,bshd,False,False,10,128,7.8,0.02392578125,0.4521484375
2,2,2,4,4,16,False,0.0,bshd,False,False,27,256,10.5,0.02734375,1.1728515625
1,1,1,128,64,16,False,0.0,bshd,False,False,18,2048,0.9,0.017578125,0.40185546875
3,3,3,128,128,64,False,0.0,bshd,False,False,70,73728,0.1,0.016357421875,18.140625
4,6,6,108,256,224,False,0.0,bshd,False,False,16,580608,0.0,0.013946533203125,4.640625
4,6,1,113,203,256,False,0.0,bshd,False,False,53,694272,0.0,0.0155029296875,11.1875
4,6,1,128,217,256,False,0.0,bshd,False,False,48,786432,0.0,0.012603759765625,7.5859375
4,6,2,113,211,128,False,0.0,bshd,False,False,16,347136,0.0,0.0127410888671875,1.4853515625
4,6,2,108,256,128,False,0.0,bshd,False,False,9,331776,0.0,0.012603759765625,136.875
4,6,1,512,256,64,False,0.0,bshd,False,False,8,786432,0.0,0.01348876953125,2.689453125
1,1,1,2,4,16,True,0.0,thd,False,False,4,32,12.5,0.021484375,0.150390625
1,2,2,2,4,16,True,0.0,thd,False,False,3,64,4.7,0.019287109375,0.10833740234375
1,4,1,2,4,16,True,0.0,thd,False,False,16,128,12.5,0.0302734375,3.955078125
1,4,2,2,4,16,True,0.0,thd,False,False,10,128,7.8,0.022369384765625,0.265869140625
1,2,2,4,4,16,True,0.0,thd,False,False,12,128,9.4,0.0418701171875,0.290771484375
2,2,2,4,4,16,True,0.0,thd,False,False,3,96,3.1,0.0218505859375,0.0968017578125
1,1,1,128,64,16,True,0.0,thd,False,False,18,1600,1.1,0.033203125,1.720703125
2,3,3,2,128,16,True,0.0,thd,False,False,5,96,5.2,0.01953125,1.7099609375
3,2,2,256,512,16,True,0.0,thd,False,False,17,2432,0.7,0.01611328125,1.6865234375
3,3,3,128,128,64,True,0.0,thd,False,False,576,8640,6.7,0.041015625,22.34375
2,4,4,1024,1024,64,True,0.0,thd,False,False,1224,212736,0.6,0.041015625,25.453125
4,6,6,108,256,224,True,0.0,thd,False,False,2990,59136,5.1,0.0478515625,55.40625
4,8,8,2048,2048,128,True,0.0,thd,False,False,2836,1358848,0.2,0.0498046875,74.0625
4,16,16,4096,4096,64,True,0.0,thd,False,False,2833,1358848,0.2,0.04248046875,640.5
2,4,4,8192,8192,32,True,0.0,thd,False,False,375,761728,0.0,0.040771484375,13.578125
4,6,1,113,203,256,True,0.0,thd,False,False,3594,84480,4.3,0.0531005859375,196.875
